ID,Station Name,Total Docks,Latitude,Longitude
1.67419E+18,Public Rack - Central Ave & George St,1,41.9326579,-87.7662058
1.67419E+18,Public Rack - Central Ave & North Ave,1,41.909414,-87.765817
1.59405E+18,California Ave & Winona St,6,41.974712,-87.697852
1.59405E+18,Rockwell St & Cermak Rd,9,41.851644,-87.690621
1.59405E+18,Richmond St & Lincoln Ave,6,41.988281,-87.703034
1.59405E+18,Sacramento Ave & 25th St,9,41.846506,-87.700139
1.57595E+18,Menard Ave & North Ave,9,41.9097167,-87.7702037
1.59405E+18,Kedzie Ave & George St,9,41.933886,-87.707262
1.57595E+18,Augusta Blvd & Laramie Ave,9,41.8986607,-87.7554551
1.59405E+18,Elston Ave & George St,9,41.934003,-87.690823
1.59405E+18,Albany Ave & Douglas Blvd,9,41.86314,-87.703022
1.60678E+18,Whipple/Irving Park,9,41.954189,-87.704448
1.59405E+18,Francisco Ave & Bloomingdale Ave,9,41.913959,-87.699368
1.67419E+18,Public Rack - Jonathan Y Scammon Public School,1,41.941612,-87.732372
1.59405E+18,Virginia Ave & Catalpa Ave,9,41.9812456,-87.7048924
1.59405E+18,Washtenaw Ave & Peterson Ave,9,41.99066,-87.697075
1.59405E+18,Albany Ave & 16th St,9,41.85936,-87.70302
1.59377E+18,Kildare Ave & 47th St,6,41.807526,-87.7308406
1.59405E+18,Rockwell St & Fletcher St,9,41.938689,-87.692972
1.58224E+18,Francisco Ave & 47th St,9,41.8084245,-87.696619
1.67419E+18,Public Rack - Harvey Ave & North Ave,3,41.909264,-87.782265
1.59405E+18,Elston Ave & Henderson St,9,41.941499,-87.701051
1.59405E+18,Western Ave & Ardmore Ave,9,41.9867636,-87.6898796
1.59405E+18,Sacramento Blvd & Fulton Ave,9,41.886528,-87.70167
1.59405E+18,Washtenaw Ave & Madison St,9,41.881286,-87.69396
1.59405E+18,Mozart St & Jackson Blvd,6,41.877507,-87.6974
1.59405E+18,N Shore Channel Trail & Argyle St,9,41.972177,-87.702749
1.59405E+18,Western Ave & Lake St,6,41.884606,-87.685853
1.59405E+18,Whipple St & Roosevelt Rd,9,41.866554,-87.701329
1.59405E+18,Sacramento Blvd & Addison St,9,41.94609,-87.702988
1.59405E+18,Washtenaw Ave & Polk St,9,41.8711028,-87.693683
1.67419E+18,Public Rack - Latrobe Ave & Lake St,1,41.887083,-87.756181
1.67419E+18,Public Rack - Lotus Ave & Harrison St,1,41.87298,-87.763267
1.67419E+18,Public Rack - McVicker Ave & Grand Ave,1,41.921251,-87.776662
1.67419E+18,Public Rack - Menard Ave & Belmont Ave,1,41.9384526,-87.7711009
1.67419E+18,Public Rack - Menard Ave & Dakin St - midblock,2,41.951732,-87.772005
1.67419E+18,Public Rack - Menard Ave & Grand Ave,1,41.9197904,-87.7709818
1.67419E+18,Public Rack - Michele Clark Magnet High School,2,41.872849,-87.753432
1.67419E+18,Public Rack - Narragansett Ave & Fullerton Ave,2,41.92378,-87.7843998
1.67419E+18,Public Rack - Sacramento Ave & Devon Ave,1,41.997575,-87.704649
98,LaSalle St & Washington St,15,41.882664,-87.63253
1.67419E+18,Public Rack - Abbott Park,2,41.721696,-87.622278
1.67419E+18,Public Rack - Cottage Grove & 86th St,1,41.738409,-87.604822
1.67419E+18,Public Rack - Sacramento Ave & Greenleaf Ave,6,42.009458,-87.704666
1.67419E+18,Public Rack - Keeler Ave & 55th St,1,41.79304,-87.728214
1.67419E+18,Public Rack - King Dr & 83rd St,1,41.743616,-87.61457
1.67419E+18,Public Rack - Sacramento Blvd & Division St,3,41.907928,-87.701479
1.67419E+18,Public Rack - Spencer Elementary Technology Academy,2,41.884655,-87.750498
1.67419E+18,Public Rack - Lafayette Ave & 87th St SW,1,41.736223,-87.626737
1.67419E+18,Public Rack - Lake Park Ave & 44th St,1,41.814697,-87.598006
1.67419E+18,Public Rack - Lake Park Ave & 47th St,1,41.809797,-87.591824
1.67419E+18,Public Rack - Langley Ave & 79th St,2,41.751103,-87.607432
1.67419E+18,Public Rack - Lawrence Ave & 103rd St,1,41.707665,-87.608695
1.67419E+18,Public Rack - Longwood Dr & 95th St,1,41.720921,-87.669585
1.59405E+18,Campbell Ave & Irving Park Rd,9,41.953634,-87.690782
1.59405E+18,Western Ave & Grace St,9,41.95039,-87.688234
1.67419E+18,Public Rack - Loomis Blvd & 83rd St,1,41.743271,-87.658769
1.67419E+18,Public Rack - Loomis St & 87th St,1,41.735465,-87.657585
1.56101E+18,Kildare & Cermak,9,41.851414,-87.73215
1.59405E+18,Troy Ave & 27th St,9,41.84265,-87.70401
1.67419E+18,Public Rack - Ashland Ave & 46th St,1,41.810537,-87.665404
1.67419E+18,Public Rack - Avenue J & 102nd St,2,41.709832,-87.534238
1.67419E+18,Public Rack - Brandon Ave & 91st St,1,41.730218,-87.546758
1.67419E+18,Public Rack - Calumet Ave & 103rd St,1,41.707061,-87.615309
1.67419E+18,Public Rack - Calumet Ave & 133rd St,2,41.653975,-87.614225
1.67419E+18,Public Rack - Central Ave & Adams St,8,41.878264,-87.764886
1.67419E+18,Public Rack - Commercial Ave & 89th St,1,41.733543,-87.551152
1.67419E+18,Public Rack - Cottage Grove Ave & 111th St,1,41.692645,-87.609758
1.67419E+18,Public Rack - Cottage Grove Ave & 92nd St,1,41.727319,-87.604787
1.67419E+18,Public Rack - Austin Branch Chicago Public Library,2,41.889161,-87.765738
1.67419E+18,Public Rack - Avenue O & 118th St,1,41.681136,-87.54029
1.67419E+18,Public Rack - Back of the Yards Park,1,41.804381,-87.657742
1.67419E+18,Public Rack - Canty Elementary School,2,41.947562,-87.829311
1.67419E+18,Public Rack - Christiana Ave & Archer Ave,1,41.81175,-87.707577
1.67419E+18,Public Rack - Corliss Ave & 103rd St,1,41.707622,-87.60355
1.67419E+18,Public Rack - Cottage Grove Ave & 91st St,1,41.72951,-87.603739
1.67419E+18,Public Rack - Ewing Ave & 105th St,1,41.704373,-87.53544
1.67419E+18,Public Rack - Ashland Ave & 71st St,2,41.76577,-87.66433
1.67419E+18,Public Rack - Forrestville Ave & 47th St,1,41.809319,-87.612921
1.67419E+18,Public Rack - Harding Ave & 47th St,1,41.807749,-87.722579
1.67419E+18,Public Rack - Harvard Ave & 103rd St,1,41.706863,-87.631674
1.67419E+18,Public Rack - Kedzie & 103rd St - W,1,41.705247,-87.701424
1.67419E+18,Public Rack - Langley Ave & 105th Pl,2,41.702472,-87.606477
1.67419E+18,Public Rack - 83rd St (Avalon Park) Metra,1,41.743916,-87.598786
1.67419E+18,Public Rack - Archer Park,2,41.803822,-87.73551
1.67419E+18,Public Rack - Avers Ave & Archer Ave,2,41.804487,-87.719584
1.67419E+18,Public Rack - Baltimore Ave & 134th St,1,41.651419,-87.547321
1.67419E+18,Public Rack - Bishop St & 46th St,1,41.80994,-87.661522
1.67419E+18,Public Rack - Bradley Park,1,41.718353,-87.564459
1.67419E+18,Public Rack - Cottage Grove & 84th St,1,41.741957,-87.604839
1.67419E+18,Public Rack - Emerald Ave & 45th St,1,41.812381,-87.644633
1.67419E+18,Public Rack - Ewing Ave & 99th St,2,41.7159614,-87.5351111
1.67419E+18,Public Rack - Greenwood Ave & Lake Park Ave,1,41.817372,-87.599576
1.67419E+18,Public Rack - Homan Ave & 111th St,1,41.691578,-87.705842
1.67419E+18,Public Rack - Kedzie & 103rd St - East,1,41.705444,-87.701232
1.67419E+18,Public Rack - Kenneth Ave & 63rd St W,10,41.778404,-87.733951
1.67419E+18,Public Rack - Ada St & 95th St,1,41.72158,-87.65612
1.67419E+18,Public Rack - Avenue M & 132nd St,2,41.655692,-87.537595
1.67419E+18,Public Rack - Kedzie Ave & 54th St - SE,1,41.794326,-87.703471
1.67419E+18,Public Rack - Lafayette Ave & 95th St,10,41.721787,-87.624939
1.67419E+18,Public Rack - Baltimore Ave & 132nd St,1,41.655201,-87.546942
1.67419E+18,Public Rack - Buffalo Ave & 89th St,3,41.73341,-87.54454
1.67419E+18,Public Rack - Central Ave & Corcoran Pl,1,41.887342,-87.765041
1.67419E+18,Public Rack - Cottage Grove Ave & 87th St,1,41.736448,-87.60616
1.67419E+18,Public Rack - Ewing Ave & 101st St,1,41.7117328,-87.5350591
1.67419E+18,Public Rack - Ewing Ave & 96th St N,1,41.7215552,-87.5356904
1.67419E+18,Public Rack - Hiawatha Park,1,41.944068,-87.827302
1.67419E+18,Public Rack - Houston Ave & 131st St,10,41.656961,-87.548521
1.67419E+18,Public Rack - Indiana Ave & 111th St,9,41.692535,-87.617711
1.67419E+18,Public Rack - Kedzie Ave & 54th St - SW,1,41.795222,-87.703719
1.67419E+18,Public Rack - Kildare Ave & Washignton Blvd,1,41.881838,-87.733661
1.67419E+18,Public Rack - Komensky Ave & 59th St,1,41.786049,-87.723645
1.67419E+18,Public Rack - Buffalo Ave & 133rd St,2,41.65428,-87.543539
1.67419E+18,Public Rack - Pulaski Rd & 40th St,2,41.81864,-87.72428
1.67419E+18,Public Rack - Ada St & 117th St,1,41.681128,-87.655064
1.67419E+18,Public Rack - Ashland Ave & 45th St,1,41.811958,-87.664862
1.67419E+18,Public Rack - Avenue J & 106th St,1,41.70261,-87.533531
1.67419E+18,Public Rack - Avenue J & 112th St,2,41.691844,-87.534181
1.67419E+18,Public Rack - Burnside Academy,2,41.728525,-87.608231
1.67419E+18,Public Rack - California Ave & Pershing Rd,10,41.822632,-87.695024
1.67419E+18,Public Rack - Calumet Ave & 51st St,1,41.802221,-87.618457
1.67419E+18,Public Rack - Cottage Grove & 85th St,1,41.740086,-87.604743
1.67419E+18,Public Rack - Ashland Ave & 76th St,2,41.75596,-87.66391
1.67419E+18,Public Rack - Eberhart Ave & 131st St,2,41.65759,-87.610713
1.67419E+18,Public Rack - Kedzie Ave & Archer Ave,2,41.81359,-87.70478
1.67419E+18,Public Rack - Damen Ave & 47th St,1,41.808884,-87.67513
1.67419E+18,Public Rack - Ewing Ave & Indianapolis Ave,1,41.712353,-87.53545
1.67419E+18,Public Rack - Halsted St & 102nd St,1,41.70794,-87.643177
