geoid,state,county,tract,blockgrp,lat,lng,loc_id
1.70311E+14,17,31,100100,1,41.9923,-87.7833,12479
1.70318E+14,17,31,832000,1,41.9471,-87.6543,12480
1.70311E+14,17,31,70101,3,41.9259,-87.6335,12481
1.70313E+14,17,31,320102,1,41.8857,-87.6206,12482
1.70312E+14,17,31,241200,1,41.9102,-87.6847,12483
1.70318E+14,17,31,835200,1,41.7966,-87.743,12484
1.70318E+14,17,31,843500,1,41.8444,-87.7032,12485
1.70316E+14,17,31,611400,2,41.8013,-87.6744,12486
1.70311E+14,17,31,51400,1,41.9381,-87.6806,12487
1.70314E+14,17,31,411000,1,41.7901,-87.5788,12488
1.70313E+14,17,31,320600,2,41.8741,-87.6261,12489
1.70316E+14,17,31,640600,3,41.7776,-87.7785,12490
1.70311E+14,17,31,81600,1,41.8909,-87.6296,12491
1.70318E+14,17,31,832500,1,41.9242,-87.6684,12492
1.70312E+14,17,31,150800,5,41.9528,-87.7524,12493
1.70312E+14,17,31,222900,1,41.9158,-87.7203,12494
1.70315E+14,17,31,520300,3,41.6974,-87.5363,12495
1.7031E+14,17,31,31400,5,41.966,-87.6459,12496
1.70311E+14,17,31,100100,4,41.9864,-87.784,12497
1.70311E+14,17,31,140100,2,41.972,-87.7069,12498
1.70313E+14,17,31,320102,2,41.8834,-87.6277,12499
1.70318E+14,17,31,838300,2,41.9037,-87.636,12500
1.70312E+14,17,31,221600,2,41.9177,-87.687,12501
1.70316E+14,17,31,590600,1,41.8285,-87.6754,12502
1.70312E+14,17,31,243500,1,41.8891,-87.6491,12503
1.70311E+14,17,31,81000,5,41.9004,-87.6343,12504
1.70316E+14,17,31,640300,6,41.7816,-87.7752,12505
1.70311E+14,17,31,70300,1,41.927,-87.6535,12506
1.70318E+14,17,31,834900,2,41.7795,-87.6557,12507
1.70318E+14,17,31,833100,1,41.8765,-87.6617,12508
1.70318E+14,17,31,842200,1,41.9064,-87.6505,12509
1.7031E+14,17,31,30103,2,41.9956,-87.6568,12510
1.7031E+14,17,31,31400,2,41.9568,-87.6461,12511
1.70311E+14,17,31,51200,2,41.9397,-87.6761,12512
1.7031E+14,17,31,31000,2,41.969,-87.6693,12513
1.70312E+14,17,31,240900,1,41.9018,-87.697,12514
1.70315E+14,17,31,520500,2,41.6953,-87.5259,12515
1.70311E+14,17,31,90200,1,42.0112,-87.8068,12516
1.7031E+14,17,31,20901,1,41.9976,-87.6894,12517
1.70311E+14,17,31,62000,1,41.9401,-87.6462,12518
1.7031E+14,17,31,30200,1,41.9947,-87.6651,12519
1.70318E+14,17,31,841900,2,41.8696,-87.6394,12520
1.70312E+14,17,31,220602,2,41.9282,-87.7161,12521
1.70316E+14,17,31,580501,2,41.8185,-87.6968,12522
1.70313E+14,17,31,251400,3,41.8938,-87.7724,12523
1.70312E+14,17,31,191200,2,41.9173,-87.7587,12524
1.70317E+14,17,31,690400,3,41.7691,-87.6235,12525
1.70313E+14,17,31,260900,2,41.8691,-87.7251,12526
1.70311E+14,17,31,81700,2,41.8941,-87.6313,12527
1.70311E+14,17,31,60500,1,41.9516,-87.6602,12528
1.70318E+14,17,31,832300,1,41.9179,-87.6677,12529
1.70318E+14,17,31,837800,1,41.8863,-87.6864,12530
1.70313E+14,17,31,251500,1,41.8931,-87.7557,12531
1.70312E+14,17,31,240900,1,41.903,-87.7044,12532
1.70313E+14,17,31,320400,1,41.8783,-87.6208,12533
1.70312E+14,17,31,242200,1,41.9016,-87.6724,12534
1.70312E+14,17,31,170800,1,41.9442,-87.8071,12535
1.70318E+14,17,31,831000,1,41.9111,-87.6784,12536
1.70313E+14,17,31,250600,4,41.9057,-87.7753,12537
1.70311E+14,17,31,81700,2,41.8911,-87.6313,12538
1.70313E+14,17,31,280100,2,41.8858,-87.6442,12539
1.70312E+14,17,31,170200,3,41.9503,-87.7817,12540
1.70311E+14,17,31,100100,1,41.9968,-87.7873,12541
1.70312E+14,17,31,160502,2,41.9573,-87.7083,12542
1.70312E+14,17,31,160100,2,41.968,-87.7441,12543
1.70313E+14,17,31,251900,2,41.8869,-87.7555,12544
1.70318E+14,17,31,839600,2,41.8309,-87.6217,12545
1.70311E+14,17,31,71800,2,41.9135,-87.6482,12546
1.70311E+14,17,31,50500,2,41.9521,-87.6788,12547
1.70317E+14,17,31,650301,3,41.7768,-87.7229,12548
1.70318E+14,17,31,831800,4,41.9756,-87.7146,12549
1.7031E+14,17,31,40300,3,41.9757,-87.7014,12550
1.70314E+14,17,31,410100,1,41.8011,-87.5903,12551
1.70311E+14,17,31,81700,2,41.8893,-87.6309,12552
1.70312E+14,17,31,150600,2,41.9477,-87.767,12553
1.70316E+14,17,31,560800,1,41.7954,-87.7636,12554
1.70313E+14,17,31,320400,1,41.8791,-87.6209,12555
1.70318E+14,17,31,839000,2,41.8698,-87.6307,12556
1.70318E+14,17,31,838000,2,41.8775,-87.6808,12557
1.70312E+14,17,31,170300,2,41.9523,-87.7985,12558
1.70314E+14,17,31,381900,1,41.8057,-87.6127,12559
1.70318E+14,17,31,833000,1,41.8843,-87.6493,12560
1.70311E+14,17,31,90200,3,42.0026,-87.8161,12561
1.70318E+14,17,31,760801,1,41.9876,-87.8453,12562
1.70318E+14,17,31,831200,1,41.9171,-87.7243,12563
1.7031E+14,17,31,20902,1,41.9979,-87.6756,12564
1.70311E+14,17,31,71800,1,41.9181,-87.6472,12565
1.70318E+14,17,31,841900,2,41.8666,-87.6439,12566
1.70312E+14,17,31,221500,1,41.924,-87.6883,12567
